FIPS,trump_vs_senate,trump_vs_house
19101,3.865430288,1.557085149
19103,-1.482645975,-2.113636325
19105,1.070993769,-0.015982821
19107,2.334526583,4.111324419
19109,1.914260401,1.709880488
19111,6.616155272,3.150063877
19113,-0.543132505,-1.785386824
19115,2.603876952,4.679358458
19117,1.45377397,3.625412878
19119,0.518499019,1.249195665
19121,1.092045342,2.710471166
19123,1.552271449,2.98293961
19125,1.140631236,0.736516323
19127,1.405644461,1.052240848
19129,1.249515693,2.631389797
19131,4.71109007,0.317125386
19133,2.047789115,4.00139451
19135,2.913986085,4.926152554
19137,-0.701017391,2.146402758
19139,1.311075551,2.197194329
19141,1.302592711,0.846731423
19143,2.387244761,1.524408519
19145,0.478332821,3.728262622
19147,3.940689999,2.602873106
19149,1.139343122,1.334048271
19151,2.704267168,4.334807652
19153,-0.580473889,0.253153405
19155,1.390649425,1.726773121
19157,1.758541786,1.686377317
19159,1.612350962,4.995130567
19161,1.776566662,3.650934691
19163,-0.205423472,1.272466416
19165,1.271829617,1.509400532
19167,-0.95386274,-1.461059289
19169,-1.299280926,-1.176809911
19171,1.093017875,1.859725273
19173,1.341459478,3.402216285
19175,0.986144735,4.069395878
19177,5.757310803,1.993790351
19179,4.887739656,3.276925471
19181,0.521601171,2.119411495
19183,0.468667697,1.66947576
19185,2.677893673,2.433325028
19187,2.491423051,2.850802777
19189,4.897161139,1.819295602
19191,0.636414807,1.619479746
19193,1.495576216,3.083576246
19195,5.819172423,1.98225699
19197,2.104777378,2.320780035
20001,3.437710151,-0.519742194
20003,3.085406439,0.9944993
20005,2.917283831,1.034745024
20007,2.239987623,-0.235820138
20009,1.948255382,0.935953822
20011,3.329124397,0.087800142
20013,3.425105682,2.236113612
20015,2.103155565,-2.257938645
20017,4.198901518,2.969609548
20019,1.201111162,-0.69927928
20021,3.087611531,-1.006971057
20023,1.196310282,0.416599473
20025,2.824188041,2.887913136
20027,1.757495532,-0.672339417
20029,1.639502324,-1.006812599
20031,2.550429044,0.621071817
20033,3.428605958,-1.229200962
20035,3.225378236,-1.950065115
20037,3.585233229,0.222851429
20039,1.613949716,0.721760542
20041,2.979462234,0.58505209
